Origine   Perte Lumin xa xb xy xgn
       1    12.24    29.62    12.41    23.66     6.08     4.61
       1     13.2    27.51    12.16    21.72     5.28     3.96
       1    13.52    26.54    12.05    21.03     4.93     3.74
       1    13.52    26.11    11.69    20.09     4.79     3.63
       1    13.68    25.59    11.67    19.75     4.61     3.54
       1    13.81       25    11.38    19.11     4.41     3.36
       1    14.07    25.15    11.56    19.21     4.46     3.41
       1    14.72    23.79    10.88    17.43     4.04     3.08
       1    15.77    20.75      9.8    13.99     3.18     2.44
       1    15.95    20.72     9.77    13.91     3.17     2.35
       1    16.08    20.87     9.81    14.13     3.21     2.28
       1    16.92    19.06     8.85    12.02     2.76     2.11
       1    17.53    18.13     8.35    10.83     2.55     1.93
       1    18.09    17.93     8.06    10.21     2.51     1.84
       1    18.14    17.41     7.82     9.88     2.39     1.74
       1    18.69    16.54     7.15      8.6     2.21     1.66
       1    19.14    16.56     7.08     8.48     2.21     1.66
       1     13.4     27.7    12.02     21.9     5.35      4.2
       1     13.4    27.89    12.48    22.42     5.42     4.04
       1    14.72    26.11     11.8    20.14     4.79     3.67
       1    15.17     25.9    11.64    19.84     4.71     3.56
       1    15.52    24.46    11.23    18.16     4.25     3.08
       1    16.41    21.96    10.14    14.92     3.51     2.65
       1    16.48     20.7     9.67    13.69     3.17     2.62
       1    16.93    19.94     9.37    12.85     2.97     2.42
       1    17.81    18.97     8.69    11.42     2.74     2.31
       1    18.14    18.58     8.26    10.82     2.65     2.22
       1    18.94    17.87     7.93    10.06     2.49     2.11
       1    20.76       16     6.66      7.7      2.1     1.81
       1    21.24    15.66     6.28     7.14     2.04     1.79
       1    21.73    15.54     6.19     7.13     2.01     1.75
       1    12.23     32.2    12.98    26.26     7.18      5.6
       1    12.36    32.66    13.04    26.11     7.27     5.49
       1       13    31.04    12.85    25.19     6.67     5.01
       1    13.62    30.19    12.86    24.89     6.31     4.91
       1     13.8    29.85     12.5     23.9     6.18     4.55
       1    13.91    29.09     12.7    23.28     5.88     4.41
       1    14.63    26.71    12.08    21.06        5     3.99
       1    15.13    26.24    11.93    20.56     4.83     3.87
       1    15.25    26.68     12.1    20.52     4.98     3.75
       1    15.73    25.28    11.63    18.91     4.51     3.38
       1    16.72    21.71    10.33    15.16     3.44     2.79
       1    16.72    21.75    10.28    15.23     3.45     2.72
       1    16.76    21.92    10.28    14.98      3.5     2.69
       1    18.31    19.47     8.74    11.87     2.86     2.36
       1    18.45    19.33        9     12.3     2.83     2.25
       1    18.58    18.64     8.65     11.1     2.67     2.23
       1    19.12    17.68     7.87    10.03     2.47     2.03
       1    22.09    15.06     5.73     6.42     1.92     1.67
       1    22.81    15.23     5.89     6.62     1.95      1.7
       2    11.92    38.52    11.57    29.22    10.38     8.05
       2    12.97    33.37    11.25    25.33     7.71        6
       2    13.01    33.82     11.2     25.6     7.92     6.08
       2    14.35    28.75    10.73     21.6     5.74     4.33
       2    14.41    28.87    10.87    21.66     5.79     4.51
       2    14.49    28.87    10.85    21.76     5.79     4.51
       2    15.34    26.04     9.89    18.42     4.76     3.67
       2    15.66    25.32     9.91    18.14     4.46      3.5
       2    15.69     24.7     9.66    17.25     4.32     3.24
       2    16.66    23.31     9.31    15.73     3.85     3.08
       2    17.58    21.54     8.62    13.97     3.39     2.74
       2    18.34    19.78     8.04    12.03     2.94     2.43
       2    20.76    17.33     6.38     9.01     2.37     1.98
       2    12.54    41.15    11.28    30.32    11.97     9.12
       2    14.09    34.75    11.22    26.88     8.63     6.68
       2    14.28    33.44    11.58    25.96     7.74     5.92
       2    15.14    31.43     11.7    24.01     6.84     5.27
       2    15.93    27.97    10.72    20.89     5.43     4.44
       2    16.19    27.66    10.69    20.59     5.33     4.13
       2    16.92    24.56     9.91    17.66      3.4      3.4
       2    17.17    24.25     9.81    17.25     4.18     3.35
       2    17.43    23.63     9.58    16.52     3.99     3.16
       2    18.59    21.97     9.05    14.72     3.51     2.84
       2    18.11    23.41      9.6    16.38     3.92     3.15
       2    19.82    19.98     8.12    12.25     2.98     2.46
       2    19.92    19.63     7.98    11.92      2.9     2.38
       2    20.08    19.78     8.06    12.06     2.93      2.5
       2    21.27    18.51     7.26    10.44     2.63      2.2
       2     12.71    39.91     11.5    29.89    11.38     8.79
       2     13.44     37.8    11.27    28.29     9.98     7.91
       2     15.44    32.68    11.49    25.34     7.38     5.68
       2     15.58    31.19     11.3       24     6.73      5.2
       2      16.2    29.24    11.05    22.16     5.93     4.66
       2     17.21    26.45    10.66    19.56      4.9     3.88
       2     17.92    24.59    10.17    17.73     4.28     3.43
       2     17.94    25.03    10.13    17.84     4.42     3.48
       2     18.12    23.45     9.85    16.29     3.93     3.13
       2      18.3    23.79     9.84    16.62     4.04      3.2
       2     19.84    21.07     8.93     13.9     3.26     2.66
